RFI_SB,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,AA:R__/C__/F__,AKs:R__/C__/F__,AQs:R__/C__/F__,AJs:R__/C__/F__,ATs:R__/C__/F__,A9s:R__/C__/F__,A8s:R__/C__/F__,A7s:R__/C__/F__,A6s:R__/C__/F__,A5s:R__/C__/F__,A4s:R__/C__/F__,A3s:R__/C__/F__,A2s:R__/C__/F__
K,AKo:R__/C__/F__,KK:R__/C__/F__,KQs:R__/C__/F__,KJs:R__/C__/F__,KTs:R__/C__/F__,K9s:R__/C__/F__,K8s:R__/C__/F__,K7s:R__/C__/F__,K6s:R__/C__/F__,K5s:R__/C__/F__,K4s:R__/C__/F__,K3s:R__/C__/F__,K2s:R__/C__/F__
Q,AQo:R__/C__/F__,KQo:R__/C__/F__,QQ:R__/C__/F__,QJs:R__/C__/F__,QTs:R__/C__/F__,Q9s:R__/C__/F__,Q8s:R__/C__/F__,Q7s:R__/C__/F__,Q6s:R__/C__/F__,Q5s:R__/C__/F__,Q4s:R__/C__/F__,Q3s:R__/C__/F__,Q2s:R__/C__/F__
J,AJo:R__/C__/F__,KJo:R__/C__/F__,QJo:R__/C__/F__,JJ:R__/C__/F__,JTs:R__/C__/F__,J9s:R__/C__/F__,J8s:R__/C__/F__,J7s:R__/C__/F__,J6s:R__/C__/F__,J5s:R__/C__/F__,J4s:R__/C__/F__,J3s:R__/C__/F__,J2s:R__/C__/F__
T,ATo:R__/C__/F__,KTo:R__/C__/F__,QTo:R__/C__/F__,JTo:R__/C__/F__,TT:R__/C__/F__,T9s:R__/C__/F__,T8s:R__/C__/F__,T7s:R__/C__/F__,T6s:R__/C__/F__,T5s:R__/C__/F__,T4s:R__/C__/F__,T3s:R__/C__/F__,T2s:R__/C__/F__
9,A9o:R__/C__/F__,K9o:R__/C__/F__,Q9o:R__/C__/F__,J9o:R__/C__/F__,T9o:R__/C__/F__,99:R__/C__/F__,98s:R__/C__/F__,97s:R__/C__/F__,96s:R__/C__/F__,95s:R__/C__/F__,94s:R__/C__/F__,93s:R__/C__/F__,92s:R__/C__/F__
8,A8o:R__/C__/F__,K8o:R__/C__/F__,Q8o:R__/C__/F__,J8o:R__/C__/F__,T8o:R__/C__/F__,98o:R__/C__/F__,88:R__/C__/F__,87s:R__/C__/F__,86s:R__/C__/F__,85s:R__/C__/F__,84s:R__/C__/F__,83s:R__/C__/F__,82s:R__/C__/F__
7,A7o:R__/C__/F__,K7o:R__/C__/F__,Q7o:R__/C__/F__,J7o:R__/C__/F__,T7o:R__/C__/F__,97o:R__/C__/F__,87o:R__/C__/F__,77:R__/C__/F__,76s:R__/C__/F__,75s:R__/C__/F__,74s:R__/C__/F__,73s:R__/C__/F__,72s:R__/C__/F__
6,A6o:R__/C__/F__,K6o:R__/C__/F__,Q6o:R__/C__/F__,J6o:R__/C__/F__,T6o:R__/C__/F__,96o:R__/C__/F__,86o:R__/C__/F__,76o:R__/C__/F__,66:R__/C__/F__,65s:R__/C__/F__,64s:R__/C__/F__,63s:R__/C__/F__,62s:R__/C__/F__
5,A5o:R__/C__/F__,K5o:R__/C__/F__,Q5o:R__/C__/F__,J5o:R__/C__/F__,T5o:R__/C__/F__,95o:R__/C__/F__,85o:R__/C__/F__,75o:R__/C__/F__,65o:R__/C__/F__,55:R__/C__/F__,54s:R__/C__/F__,53s:R__/C__/F__,52s:R__/C__/F__
4,A4o:R__/C__/F__,K4o:R__/C__/F__,Q4o:R__/C__/F__,J4o:R__/C__/F__,T4o:R__/C__/F__,94o:R__/C__/F__,84o:R__/C__/F__,74o:R__/C__/F__,64o:R__/C__/F__,54o:R__/C__/F__,44:R__/C__/F__,43s:R__/C__/F__,42s:R__/C__/F__
3,A3o:R__/C__/F__,K3o:R__/C__/F__,Q3o:R__/C__/F__,J3o:R__/C__/F__,T3o:R__/C__/F__,93o:R__/C__/F__,83o:R__/C__/F__,73o:R__/C__/F__,63o:R__/C__/F__,53o:R__/C__/F__,43o:R__/C__/F__,33:R__/C__/F__,32s:R__/C__/F__
2,A2o:R__/C__/F__,K2o:R__/C__/F__,Q2o:R__/C__/F__,J2o:R__/C__/F__,T2o:R__/C__/F__,92o:R__/C__/F__,82o:R__/C__/F__,72o:R__/C__/F__,62o:R__/C__/F__,52o:R__/C__/F__,42o:R__/C__/F__,32o:R__/C__/F__,22:R__/C__/F__
